fiNum;fiDiasPermanencia;fnTasaRecuperacion;fnTasaLiquidacion;fnAforoUtilizado;fnInteresOrdinario;fnColocacionAnual;fnYield;
1221596;169;0.7500;0.0000;0.9100;66.00;;;
1191339;200;1.0000;1.0000;0.8600;2219.00;10530.00;0.3758;
1129363;1656;0.9800;0.6700;0.9400;580.00;1680.00;0.3786;
2664901;37;0.0000;0.0000;0.9300;;;;
1794550;59;1.0000;1.0000;0.9200;232.00;;0.1992;
2920471;57;0.0000;0.0000;0.9200;;;;
546378;1;;;0.9300;;;;
1767206;44;1.0000;1.0000;0.4000;141.00;;0.1410;
479253;260;1.0000;1.0000;0.9100;398.00;;1.0017;
1720959;103;1.0000;1.0000;0.9200;1838.00;;0.1884;
1381912;64;0.0000;0.0000;0.9200;;;;
1366452;618;1.0000;1.0000;0.7600;1486.00;;0.5693;
1816343;132;1.0000;1.0000;0.9200;9037.00;;0.3971;
973288;1147;0.8500;0.6700;1.0300;12279.00;67940.00;1.9050;
2761677;875;1.0000;1.0000;0.9300;3217.00;;0.9638;
1078979;143;1.0000;1.0000;0.9100;756.00;1180.00;0.6407;
2847941;2;;;0.9200;24.00;7250.00;;
2240165;64;0.0000;0.0000;0.9100;;2100.00;;
1620616;1401;0.9800;0.6700;0.8300;14879.00;16760.00;1.0646;
2646861;255;0.0000;0.0000;0.9200;;2980.00;;
361162;25;1.0000;1.0000;0.8600;280.00;3220.00;0.0870;
2131963;16;1.0000;1.0000;1.0100;44.00;;0.0449;
2459043;2;;;0.9200;;;;
2509099;1722;1.0000;1.0000;1.0300;5744.00;4950.00;0.5062;
1585881;1054;0.9200;0.5700;0.9500;1870.00;;1.4154;
450793;536;1.0000;1.0000;0.9100;2677.00;;0.9295;
3060668;2;;;0.9300;;;;
1233097;36;0.0000;0.0000;0.9300;;;;
2223650;187;1.0000;1.0000;0.9200;483.00;;0.6038;
1397806;11;1.0000;1.0000;0.9200;59.00;;0.0428;
635365;1;;;0.9200;106.00;;;
1357494;473;1.0000;1.0000;0.9000;670.00;;0.1594;
342073;1251;1.0000;1.0000;0.7400;2805.00;;0.4778;
1065725;27;1.0000;1.0000;0.9000;92.00;;0.1034;
2568056;28;1.0000;1.0000;0.9200;629.00;;0.0916;
3025493;57;0.0000;0.0000;0.9100;;;;
922913;1;;;0.9100;;;;
2801167;1;;;0.9200;;;;
1812378;1;;;0.9400;;;;
2300669;665;1.0000;1.0000;0.8700;5759.00;;0.7107;
2342694;294;0.8600;0.5000;0.9200;168.00;;0.7581;
1903120;79;1.0000;1.0000;0.9200;390.00;;0.2671;
1124691;2355;0.9800;0.8800;1.0100;4132.00;12870.00;0.7284;
533448;117;0.6700;0.0000;0.9200;304.00;;;
2556791;1;;;0.9300;;;;
596893;691;0.7200;0.2300;0.9200;3361.00;;5.3104;
1599105;1;;;0.9300;;;;
501057;97;1.0000;1.0000;1.1100;2691.00;6440.00;0.4179;
1889622;59;0.0000;0.0000;0.9100;;;;
559976;1;;;0.9300;;;;
2335609;192;0.8300;0.0000;0.9000;270.00;;;
875902;1007;0.9500;0.6000;1.0400;3087.00;;0.5436;
2007765;2;;;0.9300;;;;
3025413;176;0.8300;0.0000;0.8700;1240.00;;;
1672361;2126;0.9400;0.7900;0.9900;4164.00;;0.8164;
1472631;3;1.0000;1.0000;0.9200;33.00;;;
2922178;57;0.0000;0.0000;0.8600;396.00;;;
484800;2082;0.9900;0.9000;1.1300;5856.00;;0.1457;
214845;1;;;0.9500;;;;
1904189;27;1.0000;1.0000;0.9500;427.00;;0.0916;
2894746;139;1.0000;1.0000;0.7800;678.00;;0.2343;
1580925;1;;;0.9300;;;;
550944;801;0.9700;0.7500;1.0000;2723.00;;0.6509;
201113;36;0.0000;0.0000;0.9300;;;;
1838486;188;1.0000;1.0000;0.9600;720.00;11033.00;0.1092;
966680;1;;;0.9200;;;;
2765582;114;0.0000;0.0000;0.9200;;;;
1064646;59;1.0000;1.0000;0.9300;107.00;;0.2058;
2760617;403;0.9400;0.5000;0.9500;640.00;;0.9083;
1001843;1;;;0.9300;;;;
606938;1;;;0.9300;;;;
178776;309;0.5600;0.3000;0.9900;1239.00;;0.3569;
2067150;149;0.8000;0.5000;0.8800;223.00;;0.0987;
